1,0.42700,-0.16276,0.48477,-0.08360,-0.49485,1.08152
2,0.37717,0.50504,0.57099,-0.62948,0.02851,-0.08509
3,-0.04092,0.62990,0.56981,-0.61166,-0.19412,0.59745
4,-0.03294,0.63260,0.57107,-0.53049,-0.29577,-0.11105
5,-0.22296,0.54352,0.54975,-0.06111,-0.23653,-0.09115
6,-0.09828,0.34564,0.82349,-0.16761,-0.28720,-0.08604
7,-0.39836,0.35504,0.69223,-0.44677,-0.39689,0.36419
8,-0.38748,0.37742,0.71972,-0.39551,0.14078,0.36252
9,-0.51852,0.17632,0.70975,-0.59202,0.02213,0.46387
10,-0.48451,0.00113,0.71685,-0.59736,-0.07724,0.33290
11,-0.36350,-0.08005,0.71356,0.07207,-0.93103,1.31201
12,-0.35928,-0.31686,0.45481,0.11260,-0.68692,1.74131
13,-0.30923,-0.23118,0.33662,0.22899,-0.49276,1.73622
14,0.03258,-0.51414,0.64746,-0.03622,-1.39891,2.11809
15,-0.01251,-0.63958,0.42545,-0.36614,-1.56777,0.69611
16,-0.18996,-0.64641,0.20549,-0.78360,-1.10015,0.02110
