%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1578489493189045480,0,1578489493188807458,base,tool0_controller,-0.24839290544,0.1879135438,0.945829088789,-0.0489351230295,-0.101339728371,-0.522739956049,0.845031686707
1578489493189085975,0,1578489493188807458,upper_arm_link,forearm_link,0.0,-0.1197,0.425,0.0,0.00191044691221,0.0,0.999998175095,0,1578489493188807458,shoulder_link,upper_arm_link,0.0,0.13585,0.0,0.0,0.109813512085,0.0,0.99395220839,0,1578489493188807458,base_link,shoulder_link,0.0,0.0,0.089159,0.0,0.0,-0.484155049775,0.874982221406,0,1578489493188807458,forearm_link,wrist_1_link,0.0,0.0,0.39225,0.0,0.707600738146,0.0,0.706612478926,0,1578489493188807458,wrist_1_link,wrist_2_link,0.0,0.093,0.0,0.0,0.0,0.706720077936,0.707493273072,0,1578489493188807458,wrist_2_link,wrist_3_link,0.0,0.0,0.09465,0.0,0.672924736612,0.0,0.73971095629
1578489493196932801,0,1578489493196757628,base,tool0_controller,-0.248393241121,0.187890484975,0.94583370533,-0.0489211632703,-0.101340021062,-0.522713736822,0.845048678629
1578489493204967667,0,1578489493204795261,base,tool0_controller,-0.248394378404,0.187907515078,0.945826240871,-0.0489358874671,-0.101359284736,-0.522743412408,0.845027158794
1578489493212915766,0,1578489493212759900,base,tool0_controller,-0.248395488981,0.187904354872,0.945827580134,-0.0489410194915,-0.101350100049,-0.522713621907,0.845046391214
1578489493213024642,0,1578489493212759900,upper_arm_link,forearm_link,0.0,-0.1197,0.425,0.0,0.00191664578392,0.0,0.999998163233,0,1578489493212759900,shoulder_link,upper_arm_link,0.0,0.13585,0.0,0.0,0.109807350689,0.0,0.993952889092,0,1578489493212759900,base_link,shoulder_link,0.0,0.0,0.089159,0.0,0.0,-0.484144410527,0.874988108351,0,1578489493212759900,forearm_link,wrist_1_link,0.0,0.0,0.39225,0.0,0.70760920369,0.0,0.706604001441,0,1578489493212759900,wrist_1_link,wrist_2_link,0.0,0.093,0.0,0.0,0.0,0.706720077936,0.707493273072,0,1578489493212759900,wrist_2_link,wrist_3_link,0.0,0.0,0.09465,0.0,0.672938184015,0.0,0.739698722788
1578489493220929886,0,1578489493220760524,base,tool0_controller,-0.248403359945,0.18789914072,0.945829091966,-0.0489386011741,-0.101337985256,-0.522705018814,0.845053305636
1578489493228941176,0,1578489493228763294,base,tool0_controller,-0.248395918078,0.187917396208,0.945825300599,-0.0489570816996,-0.101342415366,-0.522725797432,0.845038850999
1578489493236938727,0,1578489493236790923,base,tool0_controller,-0.24838687483,0.187888733049,0.945837492883,-0.0489217844557,-0.101326240365,-0.52272006963,0.845046377914
1578489493237058980,0,1578489493236790923,upper_arm_link,forearm_link,0.0,-0.1197,0.425,0.0,0.00191044691221,0.0,0.999998175095,0,1578489493236790923,shoulder_link,upper_arm_link,0.0,0.13585,0.0,0.0,0.109801426266,0.0,0.993953543577,0,1578489493236790923,base_link,shoulder_link,0.0,0.0,0.089159,0.0,0.0,-0.484144410527,0.874988108351,0,1578489493236790923,forearm_link,wrist_1_link,0.0,0.0,0.39225,0.0,0.707596526395,0.0,0.706616696543,0,1578489493236790923,wrist_1_link,wrist_2_link,0.0,0.093,0.0,0.0,0.0,0.706715818765,0.707497527563,0,1578489493236790923,wrist_2_link,wrist_3_link,0.0,0.0,0.09465,0.0,0.672933598696,0.0,0.739702894239
1578489493245004244,0,1578489493244815396,base,tool0_controller,-0.248381738897,0.187885503156,0.945834288962,-0.0489277285745,-0.101350135504,-0.522723321359,0.845041156819
1578489493253008895,0,1578489493252825913,base,tool0_controller,-0.24836136021,0.18787821205,0.945842599284,-0.0489364252061,-0.101325750057,-0.522751364039,0.845026230397
1578489493260985185,0,1578489493260810994,base,tool0_controller,-0.248396890182,0.187923614489,0.945823144146,-0.0489517957878,-0.101351280126,-0.522755223994,0.84501989059
1578489493261173606,0,1578489493260810994,upper_arm_link,forearm_link,0.0,-0.1197,0.425,0.0,0.0019345271442,0.0,0.999998128801,0,1578489493260810994,shoulder_link,upper_arm_link,0.0,0.13585,0.0,0.0,0.109807350689,0.0,0.993952889092,0,1578489493260810994,base_link,shoulder_link,0.0,0.0,0.089159,0.0,0.0,-0.484155049775,0.874982221406,0,1578489493260810994,forearm_link,wrist_1_link,0.0,0.0,0.39225,0.0,0.707600738146,0.0,0.706612478926,0,1578489493260810994,wrist_1_link,wrist_2_link,0.0,0.093,0.0,0.0,0.0,0.706728554032,0.707484806137,0,1578489493260810994,wrist_2_link,wrist_3_link,0.0,0.0,0.09465,0.0,0.672911465351,0.0,0.739723029112
1578489493269030605,0,1578489493268826014,base,tool0_controller,-0.248380597649,0.187870364695,0.945839117246,-0.0489211754533,-0.101339882992,-0.522713763373,0.845048678058
