         x	         y	         z
 -0.821200	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155977
 -0.821196	  2.356485	  0.155980
 -0.821197	  2.356485	  0.155979
 -0.821195	  2.356485	  0.155982
 -0.821198	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155977
 -0.821196	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821199	  2.356484	  0.155979
 -0.821197	  2.356485	  0.155978
 -0.821199	  2.356484	  0.155979
 -0.821198	  2.356484	  0.155979
 -0.821196	  2.356485	  0.155976
 -0.821198	  2.356484	  0.155976
 -0.821197	  2.356485	  0.155979
 -0.821198	  2.356484	  0.155978
 -0.821200	  2.356484	  0.155978
 -0.821200	  2.356484	  0.155976
 -0.821198	  2.356485	  0.155975
 -0.821198	  2.356484	  0.155976
 -0.821196	  2.356485	  0.155976
 -0.821197	  2.356485	  0.155975
 -0.821201	  2.356483	  0.155976
 -0.821199	  2.356484	  0.155976
 -0.821201	  2.356483	  0.155977
 -0.821198	  2.356484	  0.155977
 -0.821198	  2.356484	  0.155977
 -0.821199	  2.356484	  0.155977
 -0.821200	  2.356484	  0.155978
 -0.821198	  2.356484	  0.155978
 -0.821196	  2.356485	  0.155976
 -0.821201	  2.356483	  0.155980
 -0.821201	  2.356483	  0.155982
 -0.821200	  2.356484	  0.155979
 -0.821199	  2.356484	  0.155981
 -0.821197	  2.356484	  0.155981
 -0.821199	  2.356484	  0.155981
 -0.821198	  2.356484	  0.155983
 -0.821200	  2.356483	  0.155980
 -0.821199	  2.356484	  0.155981
 -0.821200	  2.356483	  0.155981
 -0.821198	  2.356484	  0.155981
 -0.821202	  2.356483	  0.155979
 -0.821198	  2.356484	  0.155981
 -0.821199	  2.356484	  0.155981
 -0.821199	  2.356484	  0.155980
 -0.821198	  2.356484	  0.155980
 -0.821202	  2.356483	  0.155979
 -0.821202	  2.356483	  0.155979
 -0.821201	  2.356483	  0.155980
 -0.821200	  2.356484	  0.155980
 -0.821200	  2.356484	  0.155981
 -0.821204	  2.356482	  0.155980
 -0.821201	  2.356483	  0.155979
 -0.821201	  2.356483	  0.155979
 -0.821202	  2.356483	  0.155981
 -0.821202	  2.356483	  0.155982
 -0.821203	  2.356481	  0.155981
 -0.821201	  2.356481	  0.155982
 -0.821199	  2.356482	  0.155978
 -0.821206	  2.356480	  0.155982
 -0.821203	  2.356481	  0.155982
 -0.821203	  2.356481	  0.155980
 -0.821204	  2.356481	  0.155979
 -0.821203	  2.356481	  0.155979
 -0.821202	  2.356481	  0.155982
 -0.821203	  2.356481	  0.155981
 -0.821203	  2.356481	  0.155980
 -0.821203	  2.356481	  0.155976
 -0.821202	  2.356479	  0.155978
 -0.821202	  2.356479	  0.155977
 -0.821203	  2.356478	  0.155979
 -0.821204	  2.356478	  0.155977
 -0.821204	  2.356477	  0.155974
 -0.821200	  2.356478	  0.155976
 -0.821201	  2.356477	  0.155974
 -0.821198	  2.356476	  0.155973
 -0.821197	  2.356476	  0.155970
 -0.821200	  2.356475	  0.155968
 -0.821197	  2.356476	  0.155969
 -0.821200	  2.356475	  0.155967
 -0.821200	  2.356475	  0.155968
 -0.821198	  2.356476	  0.155964
 -0.821197	  2.356476	  0.155963
 -0.821196	  2.356475	  0.155961
 -0.821197	  2.356473	  0.155965
 -0.821197	  2.356473	  0.155966
 -0.821199	  2.356474	  0.155966
 -0.821201	  2.356473	  0.155968
 -0.821199	  2.356475	  0.155967
 -0.821201	  2.356474	  0.155971
 -0.821201	  2.356474	  0.155970
 -0.821203	  2.356472	  0.155966
 -0.821201	  2.356473	  0.155966
 -0.821201	  2.356473	  0.155967
 -0.821203	  2.356473	  0.155967
 -0.821202	  2.356473	  0.155963
 -0.821204	  2.356472	  0.155967
 -0.821204	  2.356472	  0.155964
 -0.821203	  2.356473	  0.155964
 -0.821201	  2.356473	  0.155965
 -0.821205	  2.356471	  0.155965
 -0.821204	  2.356471	  0.155964
 -0.821203	  2.356471	  0.155962
 -0.821203	  2.356471	  0.155965
 -0.821203	  2.356471	  0.155965
 -0.821210	  2.356468	  0.155965
 -0.821213	  2.356461	  0.155968
 -0.821226	  2.356452	  0.155967
 -0.821244	  2.356442	  0.155970
 -0.821279	  2.356415	  0.155974
 -0.821338	  2.356389	  0.155974
 -0.821418	  2.356345	  0.155974
 -0.821517	  2.356297	  0.155971
 -0.821625	  2.356240	  0.155978
 -0.821738	  2.356181	  0.155974
 -0.821872	  2.356105	  0.155981
 -0.822008	  2.356033	  0.155976
 -0.822151	  2.355951	  0.155981
 -0.822313	  2.355860	  0.155980
 -0.822479	  2.355766	  0.155986
 -0.822686	  2.355650	  0.155988
 -0.822923	  2.355520	  0.155991
 -0.823201	  2.355371	  0.155996
 -0.823504	  2.355210	  0.155995
 -0.823855	  2.355022	  0.156001
 -0.824229	  2.354820	  0.156001
 -0.824641	  2.354602	  0.156002
 -0.825064	  2.354371	  0.155998
 -0.825504	  2.354136	  0.156004
 -0.825943	  2.353896	  0.156009
 -0.826406	  2.353646	  0.156020
 -0.826905	  2.353378	  0.156021
 -0.827422	  2.353101	  0.156026
 -0.827970	  2.352810	  0.156030
 -0.828555	  2.352498	  0.156035
 -0.829153	  2.352179	  0.156036
 -0.829788	  2.351845	  0.156044
 -0.830458	  2.351493	  0.156047
 -0.831162	  2.351130	  0.156054
 -0.831895	  2.350749	  0.156064
 -0.832661	  2.350355	  0.156069
 -0.833444	  2.349952	  0.156073
 -0.834233	  2.349540	  0.156077
 -0.835038	  2.349117	  0.156089
 -0.835882	  2.348679	  0.156094
 -0.836750	  2.348233	  0.156104
 -0.837643	  2.347775	  0.156113
 -0.838574	  2.347301	  0.156127
 -0.839552	  2.346810	  0.156141
 -0.840568	  2.346300	  0.156153
 -0.841639	  2.345764	  0.156161
 -0.842736	  2.345219	  0.156164
 -0.843856	  2.344664	  0.156174
 -0.844999	  2.344100	  0.156183
 -0.846139	  2.343538	  0.156199
 -0.847312	  2.342963	  0.156213
 -0.848500	  2.342385	  0.156231
 -0.849728	  2.341789	  0.156246
 -0.850981	  2.341180	  0.156254
 -0.852279	  2.340557	  0.156267
 -0.853626	  2.339915	  0.156271
 -0.854966	  2.339273	  0.156284
 -0.856338	  2.338630	  0.156304
 -0.857712	  2.337972	  0.156320
 -0.859132	  2.337314	  0.156339
 -0.860573	  2.336641	  0.156349
 -0.862051	  2.335955	  0.156371
 -0.863560	  2.335253	  0.156378
 -0.865120	  2.334542	  0.156395
 -0.866715	  2.333817	  0.156402
 -0.868336	  2.333093	  0.156417
 -0.869976	  2.332363	  0.156432
 -0.871645	  2.331628	  0.156453
 -0.873337	  2.330884	  0.156467
 -0.875039	  2.330135	  0.156481
 -0.876755	  2.329394	  0.156499
 -0.878475	  2.328632	  0.156516
 -0.880223	  2.327882	  0.156532
 -0.881998	  2.327117	  0.156558
 -0.883819	  2.326345	  0.156578
 -0.885670	  2.325569	  0.156598
 -0.887577	  2.324780	  0.156614
 -0.889509	  2.323993	  0.156638
 -0.891465	  2.323191	  0.156651
 -0.893470	  2.322382	  0.156663
 -0.895476	  2.321572	  0.156672
 -0.897491	  2.320771	  0.156695
 -0.899483	  2.319976	  0.156713
 -0.901502	  2.319182	  0.156740
 -0.903522	  2.318392	  0.156762
 -0.905582	  2.317592	  0.156795
 -0.907673	  2.316792	  0.156812
 -0.909828	  2.315980	  0.156833
 -0.912030	  2.315157	  0.156847
 -0.914276	  2.314327	  0.156865
 -0.916560	  2.313491	  0.156873
 -0.918862	  2.312665	  0.156894
 -0.921151	  2.311840	  0.156921
 -0.923468	  2.311019	  0.156960
 -0.925790	  2.310200	  0.156989
 -0.928156	  2.309377	  0.157021
 -0.930579	  2.308547	  0.157041
 -0.933063	  2.307705	  0.157064
 -0.935624	  2.306843	  0.157072
 -0.938245	  2.305978	  0.157090
 -0.940912	  2.305114	  0.157100
 -0.943583	  2.304253	  0.157132
