1,-0.15004,-0.19934,0.38887,-1.20841,-2.20080,0.66755
2,-0.20111,-0.15189,0.38912,-1.24027,-1.85784,0.50918
3,-0.16770,0.02291,0.66976,-1.37041,-1.98063,0.53602
4,-0.14827,0.30340,0.56547,-0.71264,-2.38609,0.80848
5,-0.15028,0.02793,0.34093,-1.69924,-1.76674,0.04609
6,-0.00194,-0.30233,0.32343,-1.37570,-2.42132,0.46083
7,0.02196,-0.69679,0.19481,-1.64318,-1.97793,0.46363
8,0.03066,-0.46515,0.50825,-1.63226,-2.37326,0.05109
9,0.07183,-0.24185,0.19661,-0.91890,-1.95288,0.89595
10,0.14468,-0.35388,0.28055,-1.20938,-2.13938,0.50241
11,0.24910,-0.24387,0.25285,-1.14485,-2.05687,0.57872
12,0.38564,-0.47950,0.28921,-1.27599,-2.10434,0.41812
13,0.58002,-0.38209,0.19024,-1.00890,-1.92120,0.69648
14,0.32458,-0.56279,0.49950,-1.44195,-1.87959,1.11425
15,0.04155,-0.47619,0.58434,-1.45572,-1.38666,0.39825
16,-0.03524,-0.55934,0.17268,-1.02508,-1.73211,0.49244
17,-0.17014,-0.09313,0.94634,1.81905,1.28480,-2.21217
18,-0.37121,0.42187,0.46951,0.83041,0.13454,-1.94892
19,0.25490,0.38343,0.49480,1.12727,0.73036,-2.29748
20,0.44749,-0.06755,0.65757,1.41932,1.21634,-2.33673
21,0.35699,-0.38114,0.46200,1.55428,1.41833,-2.25216
22,0.36085,-0.41648,0.33404,-1.49161,-1.99603,0.33593
23,0.46300,-0.00055,0.33518,-1.22432,-2.16370,0.51403
24,0.25258,-0.24214,0.16940,-1.88516,-1.19713,2.18858
25,0.06182,0.04195,1.00792,0.59496,-0.38600,-1.89060
26,0.09577,-0.28917,0.52476,-1.36085,-1.19218,1.75004
27,0.07255,-0.06636,0.25671,-1.75969,-1.43805,1.67111
