223	3221.87	5339139.20	255.67	F
254	3041.31	5341095.72	304.91	F
1247	4363.29	5338161.10	350.85	F
263	1940.59	5341369.08	272.56	F
240	1775.96	5340230.37	248.00	F
035	89.25	5348679.90	---	F
182	1578.03	5336740.04	302.26	F
237	1557.63	5340078.81	---	F
237sw	1543.78	5340069.22	---	F
10	2764.45	5339745.89	---	N
11	2784.91	5339758.01	---	N
21	2785.34	5339771.04	200.05	F
22	2803.12	5339782.20	---	N
31	2763.13	5339759.12	---	N
32	2739.32	5339745.62	---	N
33	2750.96	5339726.17	---	N
