1563296922.148486532 0 0 2.26892721 1.50632199 8.15360361
1563296922.148833407 0 8000 2.26892737 1.50632094 8.15360361
1563296922.148883615 0 16000 2.26892805 1.50632189 8.15360361
1563296922.148927834 0 24000 2.26892752 1.50632198 8.15360361
1563296922.148969344 0 32000 2.26892795 1.50632195 8.15360361
1563296922.149010073 0 40000 2.26892723 1.50632156 8.15360361
1563296922.149051844 0 48000 2.26892756 1.5063218 8.15360361
1563296922.149092678 0 56000 2.2689277 1.50632203 8.15360361
1563296922.149133355 0 64000 2.26892764 1.50632138 8.15360361
1563296922.149175073 0 72000 2.26892739 1.50632151 8.15360361
1563296922.149216167 0 80000 2.26892743 1.50632138 8.15360361
1563296922.149256636 0 88000 2.26892754 1.50632174 8.15360361
1563296922.149298146 0 96000 2.26892736 1.50632202 8.15360361
1563296922.149338563 0 104000 2.26892743 1.50632197 8.15360361
1563296922.149378511 0 112000 2.26892712 1.50632155 8.15360361
1563296922.149418407 0 120000 2.26892708 1.50632112 8.15360361
1563296922.149460386 0 128000 2.26892758 1.50632164 8.15360361
1563296922.149500490 0 136000 2.26892767 1.50632135 8.15360361
1563296922.149540438 0 144000 2.26892733 1.50632102 8.15360361
1563296922.149582156 0 152000 2.2689276 1.50632084 8.15360361
1563296922.149622365 0 160000 2.26892767 1.5063212 8.15360361
1563296922.149662573 0 168000 2.2689276 1.50632094 8.15360361
1563296922.149704240 0 176000 2.26892701 1.50632184 8.15360361
1563296922.149744448 0 184000 2.26892747 1.5063216 8.15360361
1563296922.149784604 0 192000 2.26892727 1.50632048 8.15360361
1563296922.149826427 0 200000 2.26892808 1.50632103 8.15360361
1563296922.149866583 0 208000 2.26892743 1.50632133 8.15360361
1563296922.149906687 0 216000 2.26892773 1.50632038 8.15360361
1563296922.149948927 0 224000 2.2689276 1.50632077 8.15360361
1563296922.149989239 0 232000 2.26892761 1.50632073 8.15360361
1563296922.150029135 0 240000 2.26892804 1.50632061 8.15360361
1563296922.150071166 0 248000 2.26892768 1.50632062 8.15360361
1563296922.150111531 0 256000 2.26892804 1.50632083 8.15360361
1563296922.150151583 0 264000 2.26892769 1.50632117 8.15360361
1563296922.150193354 0 272000 2.26892785 1.50632064 8.15360361
1563296922.150233718 0 280000 2.26892789 1.50632119 8.15360361
ES_DT_MultiMeasResult
1563296922.479462494 0 288000 2.26892786 1.50632023 8.15360361
