    Joint0	    Joint1	    Joint2	    Joint3	    Joint4	    Joint5	
  0.066279	 -0.929756	  0.533955	 -1.198212	  1.602567	 -1.491530	
  0.066291	 -0.929744	  0.533955	 -1.198201	  1.602543	 -1.491530	
  0.066279	 -0.929719	  0.533967	 -1.198224	  1.602555	 -1.491542	
  0.066291	 -0.929744	  0.533967	 -1.198176	  1.602531	 -1.491530	
  0.066279	 -0.929744	  0.533967	 -1.198212	  1.602579	 -1.491590	
  0.066291	 -0.929707	  0.533955	 -1.198188	  1.602531	 -1.491542	
  0.066279	 -0.929732	  0.533979	 -1.198201	  1.602555	 -1.491530	
  0.066279	 -0.929732	  0.533955	 -1.198188	  1.602543	 -1.491542	
  0.066291	 -0.929707	  0.533967	 -1.198188	  1.602555	 -1.491518	
  0.066255	 -0.929707	  0.533979	 -1.198201	  1.602531	 -1.491566	
  0.066279	 -0.929732	  0.533991	 -1.198212	  1.602567	 -1.491530	
  0.066303	 -0.929744	  0.534003	 -1.198212	  1.602555	 -1.491566	
  0.066255	 -0.929707	  0.533991	 -1.198188	  1.602543	 -1.491518	
  0.066303	 -0.929707	  0.534003	 -1.198212	  1.602543	 -1.491530	
  0.066291	 -0.929732	  0.533967	 -1.198176	  1.602543	 -1.491542	
  0.066267	 -0.929732	  0.533967	 -1.198188	  1.602531	 -1.491530	
  0.066255	 -0.929732	  0.533979	 -1.198201	  1.602567	 -1.491554	
  0.066279	 -0.929744	  0.533943	 -1.198201	  1.602543	 -1.491518	
  0.066279	 -0.929719	  0.533943	 -1.198236	  1.602543	 -1.491554	
  0.066279	 -0.929732	  0.533967	 -1.198188	  1.602531	 -1.491590	
  0.066279	 -0.929719	  0.533991	 -1.198212	  1.602555	 -1.491542	
  0.066303	 -0.929732	  0.533967	 -1.198212	  1.602507	 -1.491542	
  0.066291	 -0.929707	  0.533955	 -1.198188	  1.602567	 -1.491554	
  0.066303	 -0.929744	  0.533991	 -1.198176	  1.602531	 -1.491518	
  0.066279	 -0.929719	  0.533979	 -1.198201	  1.602555	 -1.491542	
  0.066303	 -0.929719	  0.533967	 -1.198224	  1.602531	 -1.491530	
  0.066315	 -0.929707	  0.533991	 -1.198212	  1.602555	 -1.491554	
  0.066291	 -0.929732	  0.533991	 -1.198188	  1.602567	 -1.491566	
  0.066255	 -0.929707	  0.533943	 -1.198188	  1.602543	 -1.491554	
  0.066315	 -0.929744	  0.533979	 -1.198188	  1.602567	 -1.491518	
  0.066315	 -0.929707	  0.533979	 -1.198176	  1.602543	 -1.491530	
  0.066303	 -0.929732	  0.533979	 -1.198236	  1.602543	 -1.491578	
  0.066267	 -0.929744	  0.533979	 -1.198212	  1.602543	 -1.491542	
  0.066291	 -0.929719	  0.533943	 -1.198188	  1.602531	 -1.491554	
  0.066267	 -0.929707	  0.533979	 -1.198188	  1.602531	 -1.491530	
  0.066303	 -0.929719	  0.533979	 -1.198212	  1.602531	 -1.491518	
  0.066303	 -0.929744	  0.533979	 -1.198201	  1.602543	 -1.491554	
  0.066303	 -0.929732	  0.533967	 -1.198212	  1.602579	 -1.491542	
  0.066267	 -0.929732	  0.533967	 -1.198176	  1.602543	 -1.491530	
  0.066255	 -0.929707	  0.533967	 -1.198236	  1.602555	 -1.491542	
  0.066291	 -0.929732	  0.533955	 -1.198224	  1.602555	 -1.491542	
  0.066279	 -0.929744	  0.533979	 -1.198188	  1.602567	 -1.491518	
  0.066327	 -0.929707	  0.533979	 -1.198188	  1.602519	 -1.491518	
  0.066267	 -0.929707	  0.533967	 -1.198188	  1.602531	 -1.491542	
  0.066339	 -0.929732	  0.533979	 -1.198224	  1.602531	 -1.491518	
  0.066315	 -0.929732	  0.533967	 -1.198164	  1.602519	 -1.491530	
  0.066291	 -0.929744	  0.533955	 -1.198212	  1.602543	 -1.491518	
  0.066303	 -0.929719	  0.533991	 -1.198201	  1.602531	 -1.491554	
  0.066303	 -0.929719	  0.533943	 -1.198176	  1.602519	 -1.491578	
  0.066303	 -0.929695	  0.533979	 -1.198201	  1.602507	 -1.491566	
  0.066315	 -0.929732	  0.533979	 -1.198224	  1.602531	 -1.491530	
  0.066279	 -0.929732	  0.533979	 -1.198212	  1.602531	 -1.491554	
  0.066315	 -0.929707	  0.533955	 -1.198188	  1.602531	 -1.491554	
  0.066315	 -0.929684	  0.533955	 -1.198212	  1.602543	 -1.491578	
  0.066279	 -0.929695	  0.533967	 -1.198188	  1.602531	 -1.491554	
  0.066315	 -0.929684	  0.533979	 -1.198224	  1.602519	 -1.491542	
  0.066303	 -0.929732	  0.533979	 -1.198201	  1.602567	 -1.491554	
  0.066279	 -0.929719	  0.533967	 -1.198224	  1.602531	 -1.491566	
  0.066291	 -0.929695	  0.533979	 -1.198201	  1.602495	 -1.491542	
  0.066279	 -0.929695	  0.533979	 -1.198176	  1.602495	 -1.491578	
  0.066279	 -0.929732	  0.533931	 -1.198212	  1.602531	 -1.491542	
  0.066267	 -0.929707	  0.534003	 -1.198212	  1.602483	 -1.491554	
  0.066279	 -0.929719	  0.533979	 -1.198188	  1.602507	 -1.491566	
  0.066315	 -0.929684	  0.533979	 -1.198212	  1.602495	 -1.491578	
  0.066279	 -0.929695	  0.533955	 -1.198248	  1.602531	 -1.491554	
  0.066255	 -0.929756	  0.534003	 -1.198188	  1.602543	 -1.491506	
  0.066255	 -0.929719	  0.533979	 -1.198201	  1.602507	 -1.491530	
  0.066279	 -0.929744	  0.533979	 -1.198212	  1.602519	 -1.491542	
  0.066315	 -0.929732	  0.533979	 -1.198212	  1.602519	 -1.491530	
  0.066279	 -0.929732	  0.533955	 -1.198201	  1.602495	 -1.491554	
  0.066279	 -0.929707	  0.533967	 -1.198188	  1.602507	 -1.491530	
  0.066303	 -0.929695	  0.533979	 -1.198201	  1.602543	 -1.491602	
  0.066279	 -0.929744	  0.533967	 -1.198224	  1.602519	 -1.491542	
  0.066291	 -0.929719	  0.533991	 -1.198201	  1.602483	 -1.491566	
  0.066291	 -0.929707	  0.533979	 -1.198201	  1.602507	 -1.491554	
  0.066279	 -0.929719	  0.533991	 -1.198236	  1.602519	 -1.491518	
  0.066267	 -0.929707	  0.533979	 -1.198212	  1.602507	 -1.491554	
  0.066315	 -0.929684	  0.533967	 -1.198201	  1.602483	 -1.491506	
  0.066267	 -0.929707	  0.533967	 -1.198224	  1.602555	 -1.491483	
  0.066279	 -0.929695	  0.534015	 -1.198212	  1.602519	 -1.491506	
  0.066243	 -0.929695	  0.533967	 -1.198212	  1.602531	 -1.491411	
  0.066196	 -0.929695	  0.533979	 -1.198248	  1.602531	 -1.491411	
  0.066100	 -0.929719	  0.533979	 -1.198224	  1.602519	 -1.491374	
  0.066016	 -0.929732	  0.533979	 -1.198236	  1.602531	 -1.491230	
  0.065944	 -0.929684	  0.533979	 -1.198201	  1.602543	 -1.491195	
  0.065824	 -0.929719	  0.534003	 -1.198188	  1.602507	 -1.491051	
  0.065681	 -0.929744	  0.533979	 -1.198212	  1.602543	 -1.490991	
  0.065513	 -0.929695	  0.533967	 -1.198212	  1.602555	 -1.490751	
  0.065286	 -0.929707	  0.533979	 -1.198224	  1.602531	 -1.490619	
  0.065118	 -0.929707	  0.533967	 -1.198224	  1.602531	 -1.490332	
  0.064878	 -0.929695	  0.534015	 -1.198236	  1.602507	 -1.490105	
  0.064603	 -0.929707	  0.533967	 -1.198236	  1.602483	 -1.489817	
  0.064316	 -0.929719	  0.533979	 -1.198201	  1.602519	 -1.489529	
  0.064028	 -0.929695	  0.533955	 -1.198212	  1.602495	 -1.489207	
  0.063658	 -0.929707	  0.533979	 -1.198176	  1.602483	 -1.488835	
  0.063275	 -0.929719	  0.533991	 -1.198248	  1.602483	 -1.488356	
  0.062820	 -0.929707	  0.534003	 -1.198236	  1.602507	 -1.487937	
  0.062293	 -0.929672	  0.533991	 -1.198212	  1.602471	 -1.487458	
  0.061694	 -0.929695	  0.533991	 -1.198248	  1.602555	 -1.486895	
  0.061132	 -0.929732	  0.533979	 -1.198188	  1.602507	 -1.486344	
  0.060521	 -0.929732	  0.534003	 -1.198224	  1.602495	 -1.485685	
  0.059863	 -0.929695	  0.533979	 -1.198224	  1.602519	 -1.484955	
  0.059133	 -0.929719	  0.533991	 -1.198212	  1.602495	 -1.484296	
  0.058403	 -0.929684	  0.534003	 -1.198212	  1.602495	 -1.483529	
  0.057612	 -0.929684	  0.533979	 -1.198224	  1.602519	 -1.482751	
  0.056834	 -0.929695	  0.533979	 -1.198188	  1.602531	 -1.481924	
  0.055985	 -0.929707	  0.533967	 -1.198212	  1.602495	 -1.481050	
  0.055123	 -0.929707	  0.533979	 -1.198224	  1.602531	 -1.480176	
  0.054165	 -0.929684	  0.533991	 -1.198201	  1.602495	 -1.479218	
  0.053219	 -0.929707	  0.534003	 -1.198176	  1.602495	 -1.478187	
  0.052178	 -0.929695	  0.533979	 -1.198212	  1.602483	 -1.477181	
  0.051077	 -0.929684	  0.533967	 -1.198224	  1.602507	 -1.476080	
  0.049999	 -0.929695	  0.533979	 -1.198212	  1.602519	 -1.474942	
  0.048790	 -0.929695	  0.533979	 -1.198212	  1.602519	 -1.473720	
  0.047677	 -0.929707	  0.533979	 -1.198212	  1.602531	 -1.472571	
  0.046372	 -0.929707	  0.533979	 -1.198201	  1.602495	 -1.471217	
  0.045115	 -0.929732	  0.533991	 -1.198224	  1.602507	 -1.469935	
  0.043787	 -0.929695	  0.533979	 -1.198212	  1.602507	 -1.468509	
  0.042470	 -0.929719	  0.534015	 -1.198212	  1.602519	 -1.467073	
  0.041118	 -0.929684	  0.533979	 -1.198236	  1.602507	 -1.465648	
  0.039645	 -0.929695	  0.533979	 -1.198212	  1.602483	 -1.464103	
  0.038125	 -0.929695	  0.534003	 -1.198201	  1.602507	 -1.462545	
  0.036580	 -0.929719	  0.533979	 -1.198224	  1.602495	 -1.460988	
  0.034965	 -0.929707	  0.533991	 -1.198236	  1.602495	 -1.459299	
  0.033373	 -0.929744	  0.533979	 -1.198212	  1.602507	 -1.457539	
  0.031697	 -0.929684	  0.533967	 -1.198236	  1.602531	 -1.455826	
  0.029925	 -0.929672	  0.533979	 -1.198212	  1.602495	 -1.454006	
  0.028166	 -0.929719	  0.533979	 -1.198201	  1.602495	 -1.452174	
  0.026334	 -0.929719	  0.534003	 -1.198236	  1.602507	 -1.450317	
  0.024502	 -0.929672	  0.533955	 -1.198176	  1.602483	 -1.448436	
  0.022599	 -0.929684	  0.533979	 -1.198224	  1.602507	 -1.446508	
  0.020660	 -0.929707	  0.533979	 -1.198201	  1.602495	 -1.444556	
  0.018697	 -0.929732	  0.533979	 -1.198236	  1.602507	 -1.442483	
  0.016674	 -0.929684	  0.533979	 -1.198212	  1.602507	 -1.440435	
  0.014675	 -0.929732	  0.533967	 -1.198224	  1.602507	 -1.438291	
  0.012533	 -0.929719	  0.533991	 -1.198236	  1.602507	 -1.436040	
  0.010426	 -0.929684	  0.533991	 -1.198236	  1.602519	 -1.433968	
  0.008523	 -0.929744	  0.533979	 -1.198188	  1.602531	 -1.431680	
  0.006164	 -0.929707	  0.533979	 -1.198201	  1.602471	 -1.429464	
  0.003938	 -0.929707	  0.533979	 -1.198164	  1.602459	 -1.427069	
  0.001640	 -0.929707	  0.533967	 -1.198224	  1.602495	 -1.424673	
 -0.000694	 -0.929684	  0.534003	 -1.198201	  1.602459	 -1.422218	
 -0.003136	 -0.929744	  0.533991	 -1.198188	  1.602471	 -1.419727	
 -0.005530	 -0.929684	  0.533979	 -1.198212	  1.602519	 -1.417235	
